DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Community Board,Council District,BIN,BBL,NTA,Census Tract,Detail,Longitude,Latitude,Location
2091788-DCA,Business,02/28/2021,Active,10/29/2019,Home Improvement Contractor,MAY SUN CONSTRUCTION LLC,,75,SACKETT ST,,BROOKLYN,NY,11231,7186433775,Brooklyn,3,306,39,3398700,3003290060,,,,-74.00422223705944,40.68550116266797,"(40.68550116266797, -74.00422223705944)"
2040546-DCA,Individual,02/28/2021,Active,07/15/2016,Home Improvement Salesperson,"STEPHENSON, JAMES A",,,,,brooklyn,NY,11231,6466447156,,,,,,,,,,,,
2034908-DCA,Business,01/05/2020,Active,03/24/2016,Garage,QUIK PARK 365 MANAGEMENT LLC,,365,BOND ST,,BROOKLYN,NY,11231,2128322066,Brooklyn,3,306,39,3336304,3004580001,BK33,77,"Vehicle Spaces: 193, Bicycle Spaces: 19",-73.99096881578231,40.67801589078201,"(40.67801589078201, -73.99096881578231)"
1240739-DCA,Business,12/31/2021,Active,10/05/2006,Tobacco Retail Dealer,NRT FOOD CORP.,,118,KANE ST,,BROOKLYN,NY,11231,718-237-4070,Brooklyn,3,306,39,3335999,3003210033,BK33,49,,-73.99942668507599,40.687098695466524,"(40.687098695466524, -73.99942668507599)"
1280991-DCA,Business,12/31/2021,Active,04/03/2008,Tobacco Retail Dealer,"HAMILTON GAS & CONVENIENCE, INC.",,327,HAMILTON AVE,,BROOKLYN,NY,11231,347-834-2769,Brooklyn,3,306,39,3005690,3003820001,BK33,65,,-74.00039656176264,40.67512599714525,"(40.67512599714525, -74.00039656176264)"
1376775-DCA,Business,12/31/2021,Active,11/12/2010,Tobacco Retail Dealer,COBBLE HILL DELI & CONVENIENCE CORP,,493,HENRY ST,,BROOKLYN,NY,11231,917-306-2607,Brooklyn,3,306,39,3004140,3003320010,BK33,67,,-73.99891469987139,40.68513892518551,"(40.68513892518551, -73.99891469987139)"
1249403-DCA,Business,12/31/2021,Active,03/06/2007,Tobacco Retail Dealer,SMITH + 9TH STREET DELI GROCERY INC.,,3,9TH ST,,BROOKLYN,NY,11231,646-515-5573,Brooklyn,3,306,39,3336363,3004770048,BK33,77,,-73.99754133538715,40.674629167298995,"(40.674629167298995, -73.99754133538715)"
2072463-1-DCA,Business,11/30/2021,Active,06/02/2018,Electronic Cigarette Dealer,COBBLE HILL DELI & CONVENIENCE CORP,,493,HENRY ST,,BROOKLYN,NY,11231,917-306-2607,Brooklyn,3,306,39,3004140,3003320010,BK33,67,,-73.99912022747183,40.68471074257981,"(40.68471074257981, -73.99912022747183)"
1306847-DCA,Business,12/31/2021,Active,12/30/2008,Tobacco Retail Dealer,SHREEJI NEWS & GROCERY INC.,,406,COURT ST,,BROOKLYN,NY,11231,718-243-1306,Brooklyn,3,306,39,3336024,3003560036,BK33,65,,-73.99684167520188,40.68042885774839,"(40.68042885774839, -73.99684167520188)"
2091865-2-DCA,Business,,Inactive,10/30/2019,Tobacco Retail Dealer,DAD'S DELI INC,,70,LORRAINE ST,,BROOKLYN,NY,11231,914-316-6461,Brooklyn,3,306,38,3008668,3005800005,,,,-74.00705512079273,40.67443135345515,"(40.67443135345515, -74.00705512079273)"
2090867-2-DCA,Business,12/31/2020,Active,09/25/2019,Tobacco Retail Dealer,414 COURT ST CONVENIENCE INC.,,414,COURT ST,,BROOKLYN,NY,11231,3472944710,Brooklyn,3,306,39,3005154,3003610028,BK33,65,,-73.99704720135338,40.68000616814378,"(40.68000616814378, -73.99704720135338)"
1448364-DCA,Business,07/31/2021,Active,10/18/2012,Secondhand Dealer - General,BREUCKELEN BERBER LLC,,145,COLUMBIA ST,,BROOKLYN,NY,11231,7185763188,Brooklyn,3,306,39,3003577,3003190024,BK33,47,,-74.00180287081132,40.686865377250335,"(40.686865377250335, -74.00180287081132)"
2081179-1-DCA,Business,12/31/2021,Active,01/07/2019,Tobacco Retail Dealer,MP LORRAINE CORP.,,58,LORRAINE ST,,BROOKLYN,NY,11231,718-858-4343,Brooklyn,3,306,38,3008668,3005800005,BK33,53,,-74.00739040288961,40.67452739953375,"(40.67452739953375, -74.00739040288961)"
2073636-1-DCA,Business,11/30/2021,Active,06/18/2018,Electronic Cigarette Dealer,"BEVERAGES AND BEYOND DISTRIBUTERS, LLC",,,GOVERNORS ISLAND,,NEW YORK,NY,11231,5613677650,Manhattan,1,101,01,1000812,1000220020,MN99,5,,-74.01290870587448,40.70627017391471,"(40.70627017391471, -74.01290870587448)"
2091398-DCA,Individual,02/28/2021,Active,10/15/2019,Home Improvement Salesperson,"Fernandes, Kevin",,,,,BROOKLYN,NY,11231,2124707967,,,,,,,,,,,,
2047404-1-DCA,Business,12/31/2019,Inactive,01/17/2017,Tobacco Retail Dealer,NEW BLONDIE FOOD 2 CORP,,421,COLUMBIA ST,,BROOKLYN,NY,11231,7188555504,Brooklyn,3,306,38,3008432,3005340010,BK33,59,,-74.00617579547172,40.67779649756279,"(40.67779649756279, -74.00617579547172)"
1149593-DCA,Business,12/31/2017,Inactive,03/10/2004,Tobacco Retail Dealer,"MARTINEZ, NELSON",MARTINEZ GROCERY,370,COURT ST,,BROOKLYN,NY,11231,718-624-2170,Brooklyn,3,306,39,3004820,3003510027,BK33,65,,-73.99628998615246,40.68157615634245,"(40.68157615634245, -73.99628998615246)"
2073403-1-DCA,Business,11/30/2021,Active,06/13/2018,Electronic Cigarette Dealer,CARROLL GARDENS DELI & GRILL CORP.,,301,SMITH ST,,BROOKLYN,NY,11231,718-852-6035,Brooklyn,3,306,39,3007052,3004290001,BK33,75,,-73.9938058083609,40.68177916260592,"(40.68177916260592, -73.9938058083609)"
2068251-1-DCA,Business,11/30/2021,Active,03/23/2018,Electronic Cigarette Dealer,SHREEJI NEWS & GROCERY INC.,,406,COURT ST,,BROOKLYN,NY,11231,718-243-1306,Brooklyn,3,306,39,3336024,3003560036,BK33,65,,-73.99684167520188,40.68042885774839,"(40.68042885774839, -73.99684167520188)"
2091182-DCA,Individual,03/31/2020,Active,10/07/2019,Sightseeing Guide,"KERRIGAN, BRIAN",,,,,BROOKLYN,NY,11231,9175332078,,,,,,,,,,,,
2089713-2-DCA,Business,11/30/2020,Active,08/19/2019,Electronic Cigarette Dealer,SMITH FINEST DELI & GRILL CORP,,285,SMITH ST,,BROOKLYN,NY,11231,347-578-3052,Brooklyn,3,306,39,3007060,3004290009,BK33,75,,-73.99353536005016,40.68217439497616,"(40.68217439497616, -73.99353536005016)"
2089710-2-DCA,Business,12/31/2020,Active,08/19/2019,Tobacco Retail Dealer,SMITH FINEST DELI & GRILL CORP,,285,SMITH ST,,BROOKLYN,NY,11231,347-578-3052,Brooklyn,3,306,39,3007060,3004290009,BK33,75,,-73.99353536005016,40.68217439497616,"(40.68217439497616, -73.99353536005016)"
0893204-DCA,Business,03/31/2020,Active,06/17/1996,Stoop Line Stand,"MARTINEZ, NELSON",MARTINEZ GROCERY,370,COURT ST,,BROOKLYN,NY,11231,718-624-2170,Brooklyn,3,306,39,3004820,3003510027,BK33,65,"Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99628998615246,40.68157615634245,"(40.68157615634245, -73.99628998615246)"
2073613-1-DCA,Business,11/30/2021,Active,06/18/2018,Electronic Cigarette Dealer,W 9TH VAPE SMOKE SHOP CORP,,478,SMITH ST,,BROOKLYN,NY,11231,917-635-8675,Brooklyn,3,306,39,3395611,3004787504,BK33,77,,-73.99782613599743,40.67465113123256,"(40.67465113123256, -73.99782613599743)"
2068941-1-DCA,Business,11/30/2021,Active,04/05/2018,Electronic Cigarette Dealer,BOLLA OPERATING CORP.,"KINGS HAMILTON AVE, MOBIL",375,HAMILTON AVE,,BROOKLYN,NY,11231,718-377-2497,Brooklyn,3,306,39,3008191,3004820001,BK33,77,,-73.99946645950067,40.67321014353927,"(40.67321014353927, -73.99946645950067)"
1350009-DCA,Individual,09/30/2019,Inactive,04/14/2010,General Vendor,"CIANCI, ORLANDO LENNY",,,,,BROOKLYN,NY,11231,7186256373,,,,,,,,,General Vendor Type: Citywide Specialized Vendor (Yellow),,,
2090228-2-DCA,Business,11/30/2020,Active,09/05/2019,Electronic Cigarette Dealer,414 COURT ST CONVENIENCE INC.,,414,COURT ST,,BROOKLYN,NY,11231,3472944710,Brooklyn,3,306,39,3005154,3003610028,BK33,65,,-73.99704720135338,40.68000616814378,"(40.68000616814378, -73.99704720135338)"
2070360-1-DCA,Business,11/30/2021,Active,05/02/2018,Electronic Cigarette Dealer,COURT STREET CORNER SHOP INC.,,304,COURT ST,,BROOKLYN,NY,11231,917-771-8762,Brooklyn,3,306,39,3004045,3003260064,BK33,67,,-73.99519376384491,40.68384878723601,"(40.68384878723601, -73.99519376384491)"
2065662-1-DCA,Business,12/31/2019,Inactive,02/03/2018,Tobacco Retail Dealer,BIG DADDY'S STATIONARY AND GROCERY CORP,,70,LORRAINE ST,,BROOKLYN,NY,11231,718-238-1000,Brooklyn,3,306,38,3008668,3005800005,BK33,53,,-74.00705512079273,40.67443135345515,"(40.67443135345515, -74.00705512079273)"
2072011-1-DCA,Business,11/30/2021,Active,05/29/2018,Electronic Cigarette Dealer,Rahmah Inc.,,368,VAN BRUNT ST,,BROOKLYN,NY,11231,,Brooklyn,3,306,38,3008584,3005650025,BK33,53,,-74.01284183158299,40.67741442306953,"(40.67741442306953, -74.01284183158299)"
0938183-DCA,Individual,09/30/2020,Active,09/19/2006,General Vendor,"SHEFTALL JR, WILLIAM",,,,,BROOKLYN,NY,11231,7186255929,,,,,,,,,General Vendor Type: General Vendor (White),,,
2075237-1-DCA,Business,11/30/2021,Active,07/09/2018,Electronic Cigarette Dealer,"MUNASER, ANIS M",156 EXPRESS GROCERY,156,UNION ST,,BROOKLYN,NY,11231,,Brooklyn,3,306,39,3004472,3003430007,BK33,63,,-74.00089057712327,40.68379124395343,"(40.68379124395343, -74.00089057712327)"
1332533-DCA,Business,12/31/2019,Inactive,09/09/2009,Tobacco Retail Dealer,SMITH FINEST DELI CORP.,,285,SMITH ST,,BROOKLYN,NY,11231,718-858-7723,Brooklyn,3,306,39,3007060,3004290009,BK33,75,,-73.99353536005016,40.68217439497616,"(40.68217439497616, -73.99353536005016)"
2072766-1-DCA,Business,11/30/2021,Active,06/06/2018,Electronic Cigarette Dealer,Vinayak Grocery Inc,Smith Street Grocery & Convenience,2,2ND ST,,BROOKLYN,NY,11231,,Brooklyn,3,306,39,3336314,3004600001,BK33,77,,-73.99506790315681,40.67932539654247,"(40.67932539654247, -73.99506790315681)"
2067602-1-DCA,Business,11/30/2019,Inactive,03/12/2018,Electronic Cigarette Dealer,SMITH FINEST DELI CORP.,,285,SMITH ST,,BROOKLYN,NY,11231,718-858-7723,Brooklyn,3,306,39,3007060,3004290009,BK33,75,,-73.99353536005016,40.68217439497616,"(40.68217439497616, -73.99353536005016)"
2074931-1-DCA,Business,11/30/2021,Active,07/03/2018,Electronic Cigarette Dealer,SMITH CONVENIENCE INC,,321,SMITH ST,,BROOKLYN,NY,11231,,Brooklyn,3,306,39,3007325,3004360102,BK33,75,,-73.99423491370008,40.68114514240725,"(40.68114514240725, -73.99423491370008)"
1150633-DCA,Individual,09/30/2020,Active,11/08/2006,General Vendor,"SCOTT, JONATHAN",,,,,BROOKLYN,NY,11231,5184852889,,,,,,,,,General Vendor Type: Citywide Specialized Vendor (Yellow),,,
2076404-1-DCA,Business,11/30/2021,Active,07/31/2018,Electronic Cigarette Dealer,WILLY DELI GROCERY CORP,,506,COURT ST,,BROOKLYN,NY,11231,718-237-0968,Brooklyn,3,306,39,3005592,3003770037,BK33,65,,-73.9986913175301,40.676586210466475,"(40.676586210466475, -73.9986913175301)"
2072979-1-DCA,Business,11/30/2021,Active,06/08/2018,Electronic Cigarette Dealer,"HAMILTON GAS & CONVENIENCE, INC.",,327,HAMILTON AVE,,BROOKLYN,NY,11231,347-834-2769,Brooklyn,3,306,39,3005690,3003820001,BK33,65,,-74.00064891906102,40.67510678257484,"(40.67510678257484, -74.00064891906102)"
2072454-1-DCA,Business,11/30/2021,Active,06/02/2018,Electronic Cigarette Dealer,"CARROLL GARDEN DELI GROCERY, INC",,245,COLUMBIA ST,,BROOKLYN,NY,11231,718-875-6276,Brooklyn,3,306,39,3338860,3003427501,BK33,51,,-74.00327746938427,40.68381864844352,"(40.68381864844352, -74.00327746938427)"
2090509-DCA,Individual,10/31/2020,Active,09/13/2019,Tow Truck Driver,"DUNN, JOSHUA",,,,,BROOKLYN,NY,11231,9174426775,,,,,,,,,,,,
2090130-DCA,Business,02/28/2021,Active,08/30/2019,Home Improvement Contractor,"J THOMAS CONSTRUCTION AND FABRICATION, INC.",,249,SMITH ST,,BROOKLYN,NY,11231,9176993810,Brooklyn,3,306,33,3006697,3004150008,BK33,75,,-73.99276726786653,40.68331068498801,"(40.68331068498801, -73.99276726786653)"
0983406-DCA,Business,07/31/2021,Active,04/23/1998,Secondhand Dealer - Auto,"T.J.'S SALES & SERVICES, LTD.",TWO FRIEND AUTO SALE'S,2,FERRIS ST,,BROOKLYN,NY,11231,9177713596,Brooklyn,3,306,38,3000000,3005130015,BK33,53,,-74.01391687304822,40.6806860681398,"(40.6806860681398, -74.01391687304822)"
2040809-DCA,Individual,09/30/2020,Active,07/20/2016,General Vendor,"HOM, YUEZHEN",,,,,BROOKLYN,NY,11231,718-855-0207,,,,,,,,,General Vendor Type: General Vendor (White),,,
1416580-DCA,Business,12/31/2020,Inactive,01/06/2012,Tobacco Retail Dealer,ORGANIC CONVENIENCE INC.,,414,COURT ST,,BROOKLYN,NY,11231,212-991-8402,Brooklyn,3,306,39,3005154,3003610028,BK33,65,,-73.99704720135338,40.68000616814378,"(40.68000616814378, -73.99704720135338)"
2043892-DCA,Business,07/31/2021,Active,09/20/2016,Secondhand Dealer - Auto,MILEA TRUCK SALES OF BROOKLYN CORP,,64,UNION ST,,BROOKLYN,NY,11231,,Brooklyn,3,306,39,3004373,3003410009,BK33,51,,-74.00457554561254,40.684817701066876,"(40.684817701066876, -74.00457554561254)"
2071965-1-DCA,Business,11/30/2019,Inactive,05/29/2018,Electronic Cigarette Dealer,ORGANIC CONVENIENCE INC.,,414,COURT ST,,BROOKLYN,NY,11231,212-991-8402,Brooklyn,3,306,39,3005154,3003610028,BK33,65,,-73.99704720135338,40.68000616814378,"(40.68000616814378, -73.99704720135338)"
2008774-DCA,Business,07/31/2021,Active,05/28/2014,Secondhand Dealer - General,AWAIS AUTO REPAIRS INC,,168,CENTRE ST,,BROOKLYN,NY,11231,7185226356,Brooklyn,3,306,38,3008564,3005620025,BK33,53,,-74.00077508641127,40.67412964189483,"(40.67412964189483, -74.00077508641127)"
2089488-DCA,Business,02/28/2021,Active,08/13/2019,Home Improvement Contractor,JBJ CONCRETE RENOVATIONS INC.,,98,VAN DYKE ST,,BROOKLYN,NY,11231,917-217-6142,Brooklyn,3,306,38,3008817,3005980043,BK33,53,,-74.01405272868229,40.67522944107086,"(40.67522944107086, -74.01405272868229)"
2035683-DCA,Business,09/15/2020,Active,04/07/2016,Sidewalk Cafe,RHLP 284 LLC,RED HOOK LOBSTER POUND,284,VAN BRUNT ST,,BROOKLYN,NY,11231,718-858-7650,Brooklyn,3,306,38,3008365,3005290028,BK33,59,"Sidewalk Cafe Type: Unenclosed, Square Feet: 156, Tables: 6, Chairs: 12",-74.01009860519878,40.67975324373339,"(40.67975324373339, -74.01009860519878)"
2075549-DCA,Business,02/28/2021,Active,07/13/2018,Home Improvement Contractor,KEVIN KERR,KERR BUILDING AND DESIGN,608,HENRY ST,,BROOKLYN,NY,11231,9177569986,Brooklyn,3,306,39,3005217,3003647502,BK33,63,,-74.00131956938915,40.68019284304103,"(40.68019284304103, -74.00131956938915)"
0907615-DCA,Business,04/30/2020,Active,05/02/2012,Tow Truck Company,CLASSIC COLLISION INC,,757,HICKS ST,,BROOKLYN,NY,11231,7184227705,Brooklyn,3,306,38,3008446,3005350007,BK33,59,"Active Plate Numbers:  6292, 5839",-74.00458582869348,40.67705548292028,"(40.67705548292028, -74.00458582869348)"
1418919-DCA,Business,12/31/2019,Inactive,02/08/2012,Tobacco Retail Dealer,FAMOUS II GROCERY CORP,,783,HICKS ST,,BROOKLYN,NY,11231,718-254-8103,Brooklyn,3,306,38,3332118,3005390001,BK33,59,,-74.00502199187177,40.676160668273965,"(40.676160668273965, -74.00502199187177)"
1435558-DCA,Business,02/28/2019,Inactive,06/27/2012,Home Improvement Contractor,TIP TOP GENERAL CONTRACTING,,221,CONOVER ST,,BROOKLYN,NY,11231,7185968086,Brooklyn,3,306,38,3395683,3005970001,BK33,53,,-74.01592411825463,40.67663726665326,"(40.67663726665326, -74.01592411825463)"
1435315-DCA,Business,07/31/2013,Inactive,08/16/2012,Secondhand Dealer - General,"ANTALOU, LIMITED",WATERFRONT ANTIQUES,147,COLUMBIA ST,,BROOKLYN,NY,11231,3472452001,Brooklyn,3,306,39,3003576,3003190023,BK33,47,,-74.00182810949768,40.68681048143431,"(40.68681048143431, -74.00182810949768)"
2018269-DCA,Business,07/31/2015,Inactive,02/12/2015,Secondhand Dealer - General,DESTINATION AUTOMOTIVE & RECOVERY INC.,,34,COFFEY ST,,BROOKLYN,NY,11231,7183690271,Brooklyn,3,306,38,3008758,3005880033,BK33,53,,-74.0115470462377,40.67448314104596,"(40.67448314104596, -74.0115470462377)"
